,경도,위도,행정동코드
17826,127.192,35.3391,45770330
17827,127.065,35.4076,45770350
17906,127.129,35.3707,45770250
17907,127.201,35.4628,45770320
17908,127.196,35.3711,45770390
18006,126.855,35.5643,45180104
18007,126.855,35.5619,45180104
18008,126.846,35.5735,45180105
18009,126.887,35.6859,45180250
18010,126.846,35.5876,45180106
18011,126.868,35.5613,45180103
18012,126.845,35.5736,45180105
18013,126.874,35.5587,45180103
18014,126.844,35.5754,45180105
18015,126.9,35.5097,45180118
18016,126.857,35.5697,45180101
18017,126.849,35.564,45180104
18018,126.864,35.5682,45180102
18019,126.846,35.5727,45180105
18020,126.845,35.5726,45180105
18021,126.888,35.6902,45180250
18022,126.851,35.5697,45180101
18023,126.856,35.5654,45180104
18024,126.896,35.5205,45180118
18025,126.816,35.6697,45180370
18027,126.984,35.6014,45180420
18029,127.021,35.6156,45180440
18030,126.943,35.6506,45180390
18031,126.783,35.6522,45180350
18032,126.846,35.5684,45180105
18033,126.867,35.5582,45180103
18034,126.847,35.5732,45180105
18035,126.847,35.5731,45180105
18036,127.018,35.5508,45180430
18037,127.019,35.5537,45180430
18038,127.026,35.5575,45180430
18039,126.895,35.5276,45180117
18040,126.862,35.5527,45180104
18041,126.849,35.5704,45180105
18042,126.861,35.5523,45180104
18043,126.838,35.5615,45180108
18044,126.838,35.5599,45180108
18045,126.896,35.6227,45180380
18046,126.844,35.5699,45180105
18047,126.896,35.5256,45180117
18048,126.89,35.6897,45180250
18049,126.861,35.5843,45180101
18050,126.867,35.5574,45180103
18051,126.855,35.5797,45180101
18053,126.859,35.587,45180101
18054,126.862,35.585,45180101
18055,126.864,35.584,45180101
18056,126.863,35.5836,45180101
18057,126.857,35.5814,45180101
18058,126.855,35.5844,45180101
18059,126.856,35.5829,45180101
18060,126.853,35.5779,45180101
18061,126.854,35.5822,45180101
18062,126.869,35.5941,45180121
18063,126.909,35.6994,45180250
18064,126.89,35.6898,45180250
18065,126.89,35.6795,45180250
18066,126.862,35.7028,45180250
18067,126.89,35.6895,45180250
18068,126.889,35.689,45180250
18069,126.887,35.688,45180250
18070,126.838,35.7168,45180250
18071,126.895,35.6226,45180380
18072,126.887,35.6797,45180250
18074,126.904,35.6587,45180380
18075,126.928,35.7149,45180400
18076,126.929,35.7149,45180400
18077,126.978,35.6885,45180400
18078,126.899,35.732,45180400
18079,126.965,35.7062,45180400
18544,127.173,35.5726,45750310
18545,127.11,35.3686,45770250
18697,127.263,36.033,45710410
19018,127.654,35.8664,45730340
19072,127.035,36.0114,45140400
19073,126.875,36.0658,45140340
19444,127.117,35.962,45710253
19871,127.661,36.0069,45730250
19872,127.665,36.0031,45730250
19873,127.664,36.0047,45730250
19874,127.761,36.0125,45730320
19875,127.651,35.9744,45730250
19876,127.649,35.8703,45730340
20074,126.946,35.9967,45140320
20075,126.945,36.0065,45140320
20076,127.021,36.0188,45140400
20077,127.029,36.0116,45140400
20078,127.057,36.0015,45140400
20079,127.015,36.0086,45140400
20080,126.877,36.067,45140340
20081,126.908,36.0829,45140340
20082,126.993,36.1094,45140440
20084,127.103,35.9906,45140410
20085,127.056,35.9716,45140410
20086,126.921,36.1307,45140350
20087,127.084,36.0618,45140390
20131,126.986,35.9497,45140123
20132,126.984,35.9563,45140123
20133,126.979,35.9534,45140123
20134,126.98,35.9518,45140123
20135,126.977,35.9517,45140122
20136,127.009,35.968,45140134
20137,126.992,35.9549,45140134
20138,126.987,35.9624,45140134
20139,126.955,35.9301,45140110
20140,126.957,35.9281,45140111
20141,126.962,35.9324,45140111
20142,126.953,35.9294,45140110
20143,126.954,35.9277,45140110
20144,126.947,35.9284,45140109
20145,126.963,35.9352,45140112
20146,126.961,35.9611,45140121
20148,126.956,35.9574,45140121
20149,126.98,35.96,45140122
20150,126.977,35.9629,45140122
20152,126.962,36.0734,45140250
20153,126.964,36.0725,45140250
20155,126.959,36.0808,45140250
20157,126.926,36.1,45140350
20158,126.966,36.0779,45140250
20159,126.985,36.02,45140430
20160,127.056,35.9911,45140400
20161,127.088,36.0586,45140390
20162,127.09,35.9663,45140410
20163,127.011,35.9017,45140420
20164,126.916,35.9419,45140310
20165,126.959,35.9468,45140113
20166,126.956,35.9575,45140121
20167,126.958,35.9522,45140113
20168,126.956,35.9599,45140121
20169,126.979,35.9561,45140123
20170,126.974,35.9565,45140122
20171,126.95,35.9417,45140101
20172,126.951,35.9436,45140101
20173,126.94,35.9599,45140115
20174,126.94,35.9488,45140114
20175,126.946,35.9581,45140115
20176,126.977,35.9343,45140125
20177,126.976,35.9532,45140122
20307,126.971,35.9313,45140111
20308,126.947,35.951,45140114
20309,126.98,35.9546,45140123
20310,126.952,35.9745,45140120
20311,126.954,35.9452,45140113
20312,126.983,35.9616,45140123
20313,126.967,35.9616,45140121
20314,127.013,35.9676,45140127
20315,126.979,35.9348,45140125
20316,126.96,35.9223,45140111
20317,126.949,35.9453,45140113
20318,126.961,35.9526,45140113
20319,126.935,35.9555,45140115
20320,126.93,35.9143,45140117
20321,126.944,35.9737,45140120
20322,126.944,35.9748,45140120
20323,126.976,35.9883,45140132
20324,127.008,35.9352,45140136
20325,126.939,36.0033,45140320
20326,126.911,36.0592,45140330
20327,126.977,35.9576,45140122
20328,126.979,35.9624,45140122
20329,126.995,35.9589,45140134
20330,126.974,35.9623,45140122
20331,126.986,35.9566,45140134
20332,126.94,35.9455,45140114
20333,126.969,35.9491,45140122
20334,126.941,35.937,45140116
20335,126.994,35.9552,45140134
20336,126.964,35.9319,45140111
20337,126.972,35.9531,45140122
20338,126.951,35.9357,45140107
20339,126.95,35.9352,45140109
20340,126.959,35.9387,45140112
20341,126.994,35.9624,45140134
22313,127.147,35.3776,45770250
22314,127.14,35.377,45770250
22315,127.146,35.3716,45770250
22316,127.111,35.3685,45770250
23700,127.117,35.5,45770400
24002,127.124,35.485,45770400
24030,127.102,35.5624,45750390
24170,127.634,35.4319,45190460
24280,127.643,35.4324,45190460
29999,127.178,35.968,45710360
30011,127.064,35.9069,45710250
30224,127.095,35.9186,45710250
30438,127.068,35.9156,45710250
30597,127.147,35.5922,45750320
30799,127.069,35.916,45710250
31151,127.122,35.5643,45750390
31221,127.063,35.9117,45710250
31473,127.023,35.8297,45710330
31531,127.055,35.8361,45710330
31723,127.061,35.9104,45710250
32273,127.039,35.8343,45710330
32440,127.125,35.9589,45710253
32472,127.156,35.8808,45710256
32740,127.126,35.9424,45710253
32803,127.146,35.3732,45770250
32828,127.093,35.9212,45710250
32830,127.129,35.9634,45710253
33054,127.023,35.8336,45710330
33079,127.018,35.8402,45710330
33129,127.124,35.5842,45750320
33151,127.128,35.9606,45710253
33227,127.121,35.7336,45710350
33666,127.106,35.5824,45750320
33691,127.072,35.9056,45710250
33740,127.068,35.9152,45710250
33769,127.025,35.8208,45710330
33776,127.125,35.5828,45750320
33871,127.161,35.9309,45710253
33878,127.069,35.9157,45710250
34022,127.167,35.9348,45710253
34217,127.116,35.4943,45770400
34358,126.984,35.829,45210340
34388,127.108,35.8262,45111142
34540,127.106,35.7292,45710350
34561,127.107,35.7294,45710350
34988,127.317,36.1172,45710380
35186,127.081,35.9199,45710250
35243,127.105,35.9205,45710250
35463,127.073,36.0496,45140390
35574,127.089,36.0004,45140410
35941,127.106,35.9213,45710250
36334,127.07,35.9093,45710250
36603,127.068,35.9089,45710250
36663,127.067,35.9102,45710250
37203,127.126,35.9625,45710253
37856,127.105,35.5343,45180430
38378,127.106,35.5325,45750390
38465,127.104,35.5123,45180430
