Column1,안전비상벨관리번호,설치목적,설치장소유형,설치위치,소재지지번주소,Latitude,Longitude,연계방식,경찰연계유무,경비업체연계유무,관리사무소연계유무,안전비상벨설치연도,관리기관명,관리기관전화번호
0,54,방범용,가로변,충혼탑,,35.4406347,126.6983052,양방향,N,N,Y,2018,고창군청,063-560-2790
1,53,방범용,가로변,월곡공영주차장,,35.43607064,126.7126061,양방향,N,N,Y,2018,고창군청,063-560-2790
2,52,방범용,가로변,원마트 앞,,35.43739323,126.6987055,양방향,N,N,Y,2018,고창군청,063-560-2790
3,51,방범용,가로변,아트리움 앞,,35.43603946,126.7146629,양방향,N,N,Y,2018,고창군청,063-560-2790
4,50,방범용,가로변,성호도서관 앞,,35.43609535,126.7023474,양방향,N,N,Y,2018,고창군청,063-560-2790
5,49,방범용,가로변,명진주택 앞,,35.43531064,126.7132861,양방향,N,N,Y,2018,고창군청,063-560-2790
6,48,방범용,가로변,동남슈퍼 앞,,35.43597667,126.6972075,양방향,N,N,Y,2018,고창군청,063-560-2790
7,47,방범용,가로변,고창여자고등학교 앞,,35.43944754,126.6993367,양방향,N,N,Y,2018,고창군청,063-560-2790
8,46,방범용,가로변,고창군청 앞,,35.43514579,126.7024253,양방향,N,N,Y,2018,고창군청,063-560-2790
9,45,방범용,가로변,하거리당산공원,,35.43357508,126.6960258,양방향,N,N,Y,2018,고창군청,063-560-2790
10,44,방범용,가로변,웰파크시티공원 앞,,35.43092932,126.7407857,양방향,N,N,Y,2018,고창군청,063-560-2790
11,43,방범용,가로변,월곡소공원,,35.43643606,126.7141962,양방향,N,N,Y,2018,고창군청,063-560-2790
12,42,방범용,가로변,월곡뉴타운공원,,35.43318059,126.7125201,양방향,N,N,Y,2018,고창군청,063-560-2790
13,41,방범용,가로변,월곡공원 후문,,35.43852909,126.7117095,양방향,N,N,Y,2018,고창군청,063-560-2790
14,40,방범용,가로변,월곡공원 정문,,35.43852909,126.7117095,양방향,N,N,Y,2018,고창군청,063-560-2790
15,39,방범용,가로변,월곡공원 옆,,35.43852909,126.7117095,양방향,N,N,Y,2018,고창군청,063-560-2790
16,38,방범용,가로변,새마을공원 앞 사거리,,35.44182347,126.6983696,양방향,N,N,Y,2018,고창군청,063-560-2790
17,37,방범용,가로변,새마을공원 입구,,35.44180996,126.6983724,양방향,N,N,Y,2018,고창군청,063-560-2790
18,36,방범용,가로변,모양성공원 중앙,,35.43298834,126.703372,양방향,N,N,Y,2018,고창군청,063-560-2790
19,35,방범용,가로변,모양성공원 앞,,35.43268771,126.7048268,양방향,N,N,Y,2017,고창군청,063-560-2790
20,34,방범용,가로변,남부공원,,35.42743241,126.6981879,양방향,N,N,Y,2017,고창군청,063-560-2790
21,33,방범용,가로변,푸른어린이집 앞,,35.44216148,126.6943442,양방향,N,N,Y,2017,고창군청,063-560-2790
22,32,방범용,가로변,아이캔어린이집 앞,,35.44208333,126.688017,양방향,N,N,Y,2017,고창군청,063-560-2790
23,31,방범용,가로변,아이세상어린이집 앞,,35.43254022,126.7062521,양방향,N,N,Y,2017,고창군청,063-560-2790
24,30,방범용,가로변,보듬이나눔이어린이집 앞,,35.43284694,126.7115067,양방향,N,N,Y,2017,고창군청,063-560-2790
25,29,방범용,가로변,고창초등학교후문사거리,,35.43665314,126.7046801,양방향,N,N,Y,2017,고창군청,063-560-2790
26,28,방범용,가로변,흥덕초등학교 정문,,35.51902447,126.7004251,양방향,N,N,Y,2017,고창군청,063-560-2790
27,27,방범용,가로변,해리초등학교 후문,,35.46485542,126.5351577,양방향,N,N,Y,2017,고창군청,063-560-2790
28,26,방범용,가로변,해리초등학교 정문,,35.46465047,126.5366489,양방향,N,N,Y,2017,고창군청,063-560-2790
29,25,방범용,가로변,아산초등학교 앞,,35.48187921,126.606562,양방향,N,N,Y,2017,고창군청,063-560-2790
