Column1,소재지도로명주소,소재지지번주소,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,Latitude,Longitude
0,전북특별자치도 무주군 무주읍 적천로 367,전북특별자치도 무주군 무주읍 읍내리 126-16,1,200,주계파출소 옥상,30,2020-05-01,36.007607,127.667394
1,전북특별자치도 무주군 무주읍 단천로 165,전북특별자치도 무주군 무주읍 읍내리 120-7,2,200,제일정미소,30,2020-01-01,36.008355,127.66905
2,전북특별자치도 무주군 적상면 사천리 303-3,전북특별자치도 무주군 적상면 사천리 303-3,2,200,적상로터리,30,2020-01-01,35.942245,127.659059
3,전북특별자치도 무주군 무주읍 내도리 1436-2,전북특별자치도 무주군 무주읍 내도리 1436-2,4,200,후도마을,30,2017-06-01,36.029814,127.644562
4,전북특별자치도 무주군 적상면 사내로 113,전북특별자치도 무주군 적상면 사산리 984-6,3,200,상사내마을,30,2017-06-01,35.938034,127.670938
5,전북특별자치도 무주군 적상면 괴목로 532,전북특별자치도 무주군 적상면 포내리 798-2,3,200,상곡마을,30,2016-01-01,35.947016,127.715383
6,전북특별자치도 무주군 안성면 내외당길 161,전북특별자치도 무주군 안성면 공정리 933-1,1,200,내당마을,30,2017-06-01,35.852364,127.686532
7,전북특별자치도 무주군 설천면 대불리 557,전북특별자치도 무주군 설천면 내북길 90,1,200,내북마을,30,2017-06-01,36.011615,127.830816
8,전북특별자치도 무주군 무주읍 당산길 20,전북특별자치도 무주군 무주읍 당산리 897,5,200,당산마을,30,2017-06-01,36.003455,127.66858
9,전북특별자치도 무주군 부남면 대소2길 6,전북특별자치도 무주군 부남면 대소리 144-1,2,200,대소마을,30,2016-01-01,35.97352,127.561401
10,전북특별자치도 무주군 부남면 대티길 58,전북특별자치도 무주군 부남면 대유리 127-1,3,200,대티마을,30,2017-06-01,35.995709,127.573425
11,전북특별자치도 무주군 안성면 덕곡길 8-3,전북특별자치도 무주군 안성면 덕산리 126,2,200,덕곡마을,30,2021-06-01,35.869497,127.700345
12,전북특별자치도 무주군 무풍면 덕동길 1,전북특별자치도 무주군 무풍면 덕지리 1400,1,200,덕동마을,30,2017-06-01,35.915093,127.830035
13,전북특별자치도 무주군 설천면 구천동1로 87,전북특별자치도 무주군 설천면 삼공리 418-19,4,200,덕유마을,30,2017-06-01,35.899685,127.776945
14,전북특별자치도 무주군 설천면 월곡길 52,전북특별자치도 무주군 설천면 삼공리 615,1,200,월곡마을,30,2019-10-01,35.897863,127.7718
15,전북특별자치도 무주군 부남면 가당리 554-1,전북특별자치도 무주군 부남면 가당리 554-1,2,200,가정마을,30,2018-06-01,36.014047,127.581613
16,전북특별자치도 무주군 적상면 삼유길 328,전북특별자치도 무주군 적상면 삼유리 1578,1,200,상유마을,30,2018-06-01,35.893769,127.608079
17,전북특별자치도 무주군 안성면 죽천리 1286-5,전북특별자치도 무주군 안성면 죽천리 1286-5,1,200,갈마마을,30,2018-06-01,35.838706,127.654088
18,전북특별자치도 무주군 적상면 괴목로 148,전북특별자치도 무주군 적상면 괴목리 726,2,200,상조마을,30,2018-06-01,35.913266,127.716903
19,전북특별자치도 무주군 부남면 고창길 15-1,전북특별자치도 무주군 부남면 고창리 304-1,2,200,고창마을,30,2018-06-01,35.94314,127.56768
20,전북특별자치도 무주군 설천면 신선길 29,전북특별자치도 무주군 설천면 두길리 670-3,1,200,구산마을,30,2018-06-01,35.975374,127.783191
21,전북특별자치도 무주군 안성면 궁대길 105,전북특별자치도 무주군 안성면 금평리 1904-1,1,200,궁대마을,30,2018-06-01,35.870334,127.683687
22,전북특별자치도 무주군 설천면 삼도봉로 174,전북특별자치도 무주군 설천면 소천리 131-6,1,200,나림마을,30,2018-06-01,36.015704,127.802288
23,전북특별자치도 무주군 적상면 성도길 23,전북특별자치도 무주군 적상면 삼유리 987-1,2,200,성유마을,30,2018-06-01,35.911634,127.613453
24,전북특별자치도 무주군 무주읍 읍내리 1159-2,전북특별자치도 무주군 무주읍 읍내리 1159-2,3,200,대교마을,30,2018-06-01,36.005473,127.65491
25,전북특별자치도 무주군 부남면 유섬길 155,전북특별자치도 무주군 부남면 대소리 1433-2,2,200,도소마을,30,2018-06-01,35.971907,127.548727
26,전북특별자치도 무주군 안성면 덕유산로 876,전북특별자치도 무주군 안성면 금평리 569-2,1,200,두문마을,30,2018-06-01,35.877961,127.694831
27,전북특별자치도 무주군 설천면 두길리 2214-3,전북특별자치도 무주군 설천면 두길리 2214-3,1,200,마전마을,30,2018-06-01,35.943324,127.754032
28,전북특별자치도 무주군 설천면 원삼공 2길 9,전북특별자치도 무주군 설천면 삼공리 293-4,2,200,원삼공마을,30,2020-03-01,35.907808,127.780481
29,전북특별자치도 무주군 설천면 청량리 163-2,전북특별자치도 무주군 설천면 청량리 163-2,1,200,온평마을,30,2020-04-01,36.010679,127.771344
30,전북특별자치도 무주군 무풍면 독가촌길 5,전북특별자치도 무주군 무풍면 삼거리 50-24,1,200,독가촌마을,30,2018-07-01,35.890303,127.825233
31,전북특별자치도 무주군 설천면 구천동1로 14,전북특별자치도 무주군 설천면 삼공리 395-10,4,200,삼공마을,30,2021-06-01,35.905853,127.779401
