Column1,업소명,업종,도로명주소,위도,경도,대분류,기타,할인적용카드
0,한옥마을 아트홀,공연,전북 전주시 완산구 경기전길 42 (경원동2가),35.8175813,127.1502883,여가/레저,온/오프라인 유무 : offline,문화누리카드
1,경원장여관,숙박,전북 전주시 완산구 경기전길 8-5,35.8190281,127.1495773,서비스업,온/오프라인 유무 : offline,문화누리카드
2,사단법인교동아트,미술,전북 전주시 완산구 경기전길 89 교동아트미술관 (풍남동3가),35.8154989,127.1511669,여가/레저,온/오프라인 유무 : offline,문화누리카드
3,홍지서림 전주점,도서,전라북도 전주시 완산구  동문길 106 홍지서림,35.8180672,127.1482237,여가/레저,온/오프라인 유무 : offline,문화누리카드
4,포토젠(사진관),미술,전북 전주시 완산구 전주객사4길 24-17,35.8191932,127.1443371,여가/레저,온/오프라인 유무 : offline,문화누리카드
5,유한회사 궁,숙박,전북 남원시 주천면 원천로 291-21 (용담리),35.4055859,127.4225777,서비스업,온/오프라인 유무 : offline,문화누리카드
6,지리산프리방스(J.Free vence),숙박,전북 남원시 주천면 원천로 345-34  (호기리),35.4012123,127.4301859,서비스업,온/오프라인 유무 : offline,문화누리카드
7,흙마을도예,문화체험,전라북도 남원시 주천면 원천로 420-5,35.3973374,127.4337867,여가/레저,온/오프라인 유무 : offline,문화누리카드
8,그린피아모텔,숙박,전북 남원시 주천면 제바위길 36 (용담리),35.4069999,127.4117865,서비스업,온/오프라인 유무 : offline,문화누리카드
9,한일파크,숙박,전북 남원시 용성로 112-1,35.4093828,127.388534,서비스업,온/오프라인 유무 : offline,문화누리카드
10,달나라칼라사진관,미술,전북 남원시 용성로 88,35.4089482,127.3862415,여가/레저,온/오프라인 유무 : offline,문화누리카드
11,초콜릿모텔,숙박,전북 남원시 충정로 220-9,35.422464,127.3943013,서비스업,온/오프라인 유무 : offline,문화누리카드
12,(유)은하항공여행사,여행사,전북 전주시 완산구 노송광장로 7,35.8233849,127.1483779,여가/레저,온/오프라인 유무 : offline,문화누리카드
13,사계,숙박,전북 전주시 완산구 서서학동 서학3길 27-4,35.8066921,127.1512252,서비스업,온/오프라인 유무 : offline,문화누리카드
14,연미사진관,미술,전북 전주시 완산구 팔달로 22-2,35.8047026,127.1493388,여가/레저,온/오프라인 유무 : offline,문화누리카드
15,동경모텔,숙박,전북 전주시 완산구 여울로 31,35.8359669,127.1200983,서비스업,온/오프라인 유무 : offline,문화누리카드
16,미래도서문구,도서,전북 전주시 완산구 고사평8길 18,35.8366219,127.1119935,여가/레저,온/오프라인 유무 : offline,문화누리카드
17,민중서관서신점,도서,전북 전주시 완산구 온고을로 62,35.8342453,127.1161519,여가/레저,온/오프라인 유무 : offline,문화누리카드
18,서신갤러리,미술,전라북도 전주시 완산구  서신로 38 새터빌딩 지하 1층 서신갤러리,35.8287382,127.1160271,여가/레저,온/오프라인 유무 : offline,문화누리카드
19,완산 공용 정류소,교통수단,전북 전주시 완산구 서완산동 1가 589-1,35.8115377,127.1387085,생활,온/오프라인 유무 : offline,문화누리카드
20,고운한지공예,문화체험,전라북도 전주시 완산구  서학1길 38-3,35.8077266,127.1503276,여가/레저,온/오프라인 유무 : offline,문화누리카드
21,몽유화원,숙박,전북 전주시 완산구 서학3길 85-1,35.8092263,127.1516212,서비스업,온/오프라인 유무 : offline,문화누리카드
22,조지오웰의 혜안,도서,전북 전주시 완산구 서학로 25,35.8097249,127.1522204,여가/레저,온/오프라인 유무 : offline,문화누리카드
23,파파야스튜디오(사진관),미술,전북 전주시 완산구 소태정1길 6-3,35.8033243,127.1005673,여가/레저,온/오프라인 유무 : offline,문화누리카드
24,지리산밸리펜션,숙박,전북 남원시 산내면 지리산로 1268 (내령리),35.398842,127.6030623,서비스업,온/오프라인 유무 : offline,문화누리카드
25,우리네 펜션,숙박,전북 남원시 산내면 지리산로 1357-8 (내령리),35.4041032,127.6091514,서비스업,온/오프라인 유무 : offline,문화누리카드
26,지리산칸호텔,숙박,전북 남원시 산내면 지리산로 815 지리산파크텔   (부운리),35.375017,127.5801148,서비스업,온/오프라인 유무 : offline,문화누리카드
27,노고지리산방,숙박,전북 남원시 산내면 황치길 207,35.4298368,127.6509256,서비스업,온/오프라인 유무 : offline,문화누리카드
28,수지미술관,미술,"전라북도 남원시 수지면 물머리로 525 비둘기학교 ,수지미술관",35.3273709,127.3475613,여가/레저,온/오프라인 유무 : offline,문화누리카드
29,(유)천일고속관광,여행사,전북 남원시 시청로 26(도통동),35.4133195,127.3922541,여가/레저,온/오프라인 유무 : offline,문화누리카드
30,남원역,교통수단,전북 남원시 신정동 531,35.4122364,127.3608276,생활,온/오프라인 유무 : offline,문화누리카드
31,남원시시설사업소(천문대),관광지,전북 남원시 양림길 48-63 남원항공우주천문대 (노암동),35.399194,127.3873883,여가/레저,온/오프라인 유무 : offline,문화누리카드
32,남원랜드,관광지,"전북 남원시 양림길 58-13  (어현동,남원랜드 )",35.4032273,127.3925014,여가/레저,온/오프라인 유무 : offline,문화누리카드
33,지은민예품,미술,전라북도 남원시  양림길 74,35.4027348,127.3889097,여가/레저,온/오프라인 유무 : offline,문화누리카드
34,(주)이랜드파크켄싱턴리조트지리산남원,숙박,전북 남원시 소리길 66,35.402057,127.3849,서비스업,온/오프라인 유무 : offline,문화누리카드
35,희망사진관-홍삼명가,미술,전북 남원시 의총로 81-10,35.4080584,127.3759552,여가/레저,온/오프라인 유무 : offline,문화누리카드
36,남원시시설사업소(광한루원),관광지,전북 남원시 요천로 1447 (천거동),35.4032843,127.3795144,여가/레저,온/오프라인 유무 : offline,문화누리카드
37,지리산공용버스터미널,교통수단,전북 남원시 인월면 인월북2길 18,35.4617768,127.603131,생활,온/오프라인 유무 : offline,문화누리카드
38,자라,숙박,전북 남원시 인월면 인월장터로 6 (인월리),35.4603262,127.6019937,서비스업,온/오프라인 유무 : offline,문화누리카드
39,구룡관광호텔,숙박,전북 남원시 인월면 천왕봉로 143 지리산구룡관광호텔,35.4535172,127.6090803,서비스업,온/오프라인 유무 : offline,문화누리카드
40,목화장여관,숙박,전북 김제시 요촌동 동서3길 32 목화장모텔 모텔,35.79896382,126.8836291,서비스업,온/오프라인 유무 : offline,문화누리카드
41,삼화서점,도서,전북 김제시 화동길 30,35.7990948,126.8892242,여가/레저,온/오프라인 유무 : offline,문화누리카드
42,김제한국문화센타,문화체험,전라북도 김제시  중앙로 262 한국문화센터 김제지부,35.794721,126.8995767,여가/레저,온/오프라인 유무 : offline,문화누리카드
43,모텔 궁,숙박,전북 김제시 진봉면 심포6길 89-5,35.8560008,126.7050792,서비스업,온/오프라인 유무 : offline,문화누리카드
44,남원자연휴양림,관광지,전북 남원시 보산로 228,35.46106,127.41695,여가/레저,온/오프라인 유무 : offline,문화누리카드
45,진서점,도서,전북 남원시 광한북로 45-1 (하정동),35.4069854,127.3797378,여가/레저,온/오프라인 유무 : offline,문화누리카드
46,드림디포,도서,전북 남원시 광한북로 50,35.4073845,127.3801193,여가/레저,온/오프라인 유무 : offline,문화누리카드
47,곽은희사진실(사진관),미술,전북 남원시 남문로 394-1,35.4064778,127.3744426,여가/레저,온/오프라인 유무 : offline,문화누리카드
48,남원가온공예협동조합,문화체험,전라북도 남원시  남문로 472,35.406103,127.3829448,여가/레저,온/오프라인 유무 : offline,문화누리카드
49,행운장여관,숙박,전북 남원시 충정로 230-12,35.4225515,127.3945058,서비스업,온/오프라인 유무 : offline,문화누리카드
50,보금파크텔,숙박,전북 남원시 충정로 230-10,35.4225515,127.3945058,서비스업,온/오프라인 유무 : offline,문화누리카드
51,팬시앤북,도서,전북 남원시 역재1길 15,35.4185573,127.39765,여가/레저,온/오프라인 유무 : offline,문화누리카드
52,모형교재,도서,전북 남원시 남문로 469,35.4065215,127.3828978,여가/레저,온/오프라인 유무 : offline,문화누리카드
53,남원 공용 버스 터미널,교통수단,전북 남원시 동충동 37-1,35.4096588,127.3878761,생활,온/오프라인 유무 : offline,문화누리카드
54,(유) 하나로관광,여행사,전북 남원시 동충동 광한북로 101,35.79896382,126.8836291,여가/레저,온/오프라인 유무 : offline,문화누리카드
55,솔고개민박,숙박,전북 남원시 산내면 천왕봉로 654,35.422708,127.6245865,서비스업,온/오프라인 유무 : offline,문화누리카드
56,가인쉼터,숙박,전북 남원시 산내면 지리산로 1357-8,35.4041032,127.6091514,서비스업,온/오프라인 유무 : offline,문화누리카드
57,열린도서,도서,전북 전주시 완산구 공북로 58 (태평동),35.8256634,127.1380884,여가/레저,온/오프라인 유무 : offline,문화누리카드
58,공주님솜씨방,미술,전북 전주시 완산구 태조로 43,35.8139647,127.150109,여가/레저,온/오프라인 유무 : offline,문화누리카드
59,온고을,숙박,전북 전주시 완산구 향교길 51-10,35.8122639,127.1524425,서비스업,온/오프라인 유무 : offline,문화누리카드
60,노송동간이정류소,교통수단,전북 전주시 완산구 기린대로 123,35.8199585,127.1532595,생활,온/오프라인 유무 : offline,문화누리카드
61,사단법인 전북예술문화원,공연,전라북도 전주시 완산구  내원당길 50,35.7966991,127.1708502,여가/레저,온/오프라인 유무 : offline,문화누리카드
62,풍남관광호텔,숙박,전북 전주시 완산구 전주객사2길 45-7,35.818435,127.1402045,서비스업,온/오프라인 유무 : offline,문화누리카드
63,명성악기사,음악,전북 전주시 완산구 다가동3가81-1,35.8163085,127.1398779,여가/레저,온/오프라인 유무 : offline,문화누리카드
64,한가서림,도서,전북 전주시 완산구 동문길 102 (경원동1가),35.8180818,127.148408,여가/레저,온/오프라인 유무 : offline,문화누리카드
65,일신서점,도서,전북 전주시 완산구 동문길 120 (전동),35.8179201,127.1475306,여가/레저,온/오프라인 유무 : offline,문화누리카드
66,우림서점,도서,전북 전주시 완산구 마당재3길 20-22 (중노송동),35.8223299,127.159434,여가/레저,온/오프라인 유무 : offline,문화누리카드
67,(유)우리여행사,여행사,전북 전주시 완산구 마전로 5 (효자동3가),35.8215865,127.1040655,여가/레저,온/오프라인 유무 : offline,문화누리카드
68,전주영광기독백화점,도서,전북 전주시 완산구 백제대로 133 (효자동1가),35.8047433,127.1232557,여가/레저,온/오프라인 유무 : offline,문화누리카드
69,현대서점,도서,전북 전주시 완산구 성지산로 36,35.799727,127.1239431,여가/레저,온/오프라인 유무 : offline,문화누리카드
70,신해성서점,도서,전북 전주시 완산구 계룡산길 88-7,35.786807,127.1042485,여가/레저,온/오프라인 유무 : offline,문화누리카드
71,완산서점,도서,전북 전주시 완산구 삼천동3가  417,35.8018524,127.0837372,여가/레저,온/오프라인 유무 : offline,문화누리카드
72,중앙도서,도서,전북 전주시 덕진구 정언신로 38 (인후동1가),35.8298505,127.1581266,여가/레저,온/오프라인 유무 : offline,문화누리카드
